"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Display1";"128x64OLED";1;"SSD1306";;;
2;"Rfidreader1";"RC522";1;"RC522";;;
3;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
4;"U2";"XIAO-ESP32C6-DIP";1;"XIAO-ESP32-C6";;;
5;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Detect";;;
6;"D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Lock";;;
7;"R3,R4,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"68Ω";;;
8;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Relay";;;
9;"Q2,Q1";"TO-92";2;"BC337";;;
10;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Conn_01x02_Socket";;;
11;"C1";"CP_EIA-6032-28_Kemet-C";1;"10uF";;;
12;"R1,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10k";;;
13;"U1";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
14;"K1";"Relay_SPDT_Omron_G2RL-1-E";1;"G2RL-1";;;
15;"J2";"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal";1;"Power/Lock/Detect";;;
16;"J3";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Relay";;;
17;"D5";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148WS";;;
18;"C2";"CP_EIA-6032-28_Kemet-C";1;"22uF";;;
